title,actor,link,rate
疯狂原始人,导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...,https://movie.douban.com/subject/1907966/,8.7
怪兽电力公司,导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...,https://movie.douban.com/subject/1291579/,8.6
杀人回忆,导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...,https://movie.douban.com/subject/1300299/,8.6
穿越时空的少女,导演: 细田守 Mamoru Hosoda   主演: 仲里依纱 Riisa Naka / 石田卓也 Takuya...,https://movie.douban.com/subject/1937946/,8.6
卢旺达饭店,导演: 特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...,https://movie.douban.com/subject/1291822/,8.8
魂断蓝桥,导演: Mervyn LeRoy   主演: Vivien Leigh / Robert Taylor / Lucile Watson,https://movie.douban.com/subject/1293964/,8.8
红辣椒,导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 古谷彻 T...,https://movie.douban.com/subject/1865703/,8.8
黑天鹅,导演: 达伦·阿罗诺夫斯基 Darren Aronofsky   主演: 娜塔丽·波曼 Natalie P...,https://movie.douban.com/subject/1978709/,8.5
猜火车,导演: 丹尼·鲍尔 Danny Boyle   主演: 伊万·麦克格雷格 Ewan McGregor / 艾...,https://movie.douban.com/subject/1292528/,8.5
恋恋笔记本,导演: 尼克·卡索维茨 Nick Cassavetes   主演: 瑞恩·高斯林 Ryan Gosling /...,https://movie.douban.com/subject/1309163/,8.5
英雄本色,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...,https://movie.douban.com/subject/1297574/,8.7
傲慢与偏见,导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...,https://movie.douban.com/subject/1418200/,8.4
喜宴,导演: 李安   主演: 赵文瑄 / 归亚蕾 / 金素梅,https://movie.douban.com/subject/1303037/,8.7
教父3,导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...,https://movie.douban.com/subject/1294240/,8.7
完美的世界,导演: 克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos...,https://movie.douban.com/subject/1300992/,9.0
雨中曲,导演: Stanley Donen / Gene Kelly   主演: Gene Kelly / Donald O'Connor / ...,https://movie.douban.com/subject/1293460/,8.9
玩具总动员3,导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...,https://movie.douban.com/subject/1858711/,8.7
人工智能,导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 海利·乔·奥斯蒙 Haley...,https://movie.douban.com/subject/1302827/,8.6
纵横四海,导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...,https://movie.douban.com/subject/1295409/,8.7
萤火之森,导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...,https://movie.douban.com/subject/5989818/,8.7
我是山姆,导演: 杰茜·尼尔森 Jessie Nelson   主演: Sean Penn / Dakota Fanning / Mi...,https://movie.douban.com/subject/1306861/,8.8
小森林 夏秋篇,导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...,https://movie.douban.com/subject/25814705/,8.9
香水,导演: 汤姆·提克威 Tom Tykwer   主演: 本·卫肖 Ben Whishaw / 艾伦·瑞克...,https://movie.douban.com/subject/1760622/,8.4
冰川时代,导演: 卡洛斯·沙尔丹哈 Carlos Saldanha / 克里斯·韦奇 Chris Wedge   主演...,https://movie.douban.com/subject/1291578/,8.4
喜剧之王,导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...,https://movie.douban.com/subject/1302425/,8.4
浪潮,导演: 丹尼斯·甘塞尔 Dennis Gansel   主演: 尤尔根·沃格尔 Jürgen Vogel ...,https://movie.douban.com/subject/2297265/,8.7
撞车,导演: 保罗·哈吉斯 Paul Haggis   主演: 桑德拉·布洛克 Sandra Bullock / ...,https://movie.douban.com/subject/1388216/,8.6
哈利·波特与死亡圣器(下),导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...,https://movie.douban.com/subject/3011235/,8.6
秒速5厘米,导演: 新海诚 Makoto Shinkai   主演: 水桥研二 Kenji Mizuhashi / 近藤好美 ...,https://movie.douban.com/subject/2043546/,8.4
7号房的礼物,导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...,https://movie.douban.com/subject/10777687/,8.6
碧海蓝天,导演: Luc Besson   主演: Jean-Marc Barr / Jean Reno / Rosanna Arquette,https://movie.douban.com/subject/1300960/,8.7
朗读者,导演: 史蒂芬·戴德利 Stephen Daldry   主演: 凯特·温丝莱特 Kate Winslet ...,https://movie.douban.com/subject/2213597/,8.5
追随,导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 杰里米·西奥伯德 Jeremy...,https://movie.douban.com/subject/1397546/,9.0
花样年华,导演: 王家卫 Kar Wai Wong   主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...,https://movie.douban.com/subject/1291557/,8.4
罗生门,导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 千秋实 ...,https://movie.douban.com/subject/1291879/,8.7
可可西里,导演: 陆川 Chuan Lu   主演: 多布杰 Duobujie / 张磊 Lei Zhang / 亓亮 Qi L...,https://movie.douban.com/subject/1308857/,8.6
战争之王,导演: 安德鲁·尼科尔 Andrew Niccol   主演: 尼古拉斯·凯奇 Nicolas Cage /...,https://movie.douban.com/subject/1419936/,8.5
梦之安魂曲,导演: 达伦·阿伦诺夫斯基 Darren Aronofsky   主演: 艾伦·伯斯汀 Ellen Bur...,https://movie.douban.com/subject/1292270/,8.7
海盗电台,导演: 理查德·柯蒂斯 Richard Curtis   主演: 比尔·奈伊 Bill Nighy / 肯尼...,https://movie.douban.com/subject/3007773/,8.6
心迷宫,导演: 忻钰坤 Yukun Xin   主演: 霍卫民 Weimin Huo / 王笑天 Xiaotian Wang ...,https://movie.douban.com/subject/25917973/,8.6
一次别离,导演: 阿斯哈·法哈蒂  Asghar Farhadi   主演: 蕾拉·哈塔米 Leila Hatami /...,https://movie.douban.com/subject/5964718/,8.7
唐伯虎点秋香,导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...,https://movie.douban.com/subject/1306249/,8.3
超能陆战队,导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   主演: 斯科特...,https://movie.douban.com/subject/11026735/,8.6
谍影重重2,导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...,https://movie.douban.com/subject/1308767/,8.5
谍影重重,导演: 道格·里曼 Doug Liman   主演: 马特·达蒙 Matt Damon / 弗兰卡·波坦...,https://movie.douban.com/subject/1304102/,8.5
时空恋旅人,导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格利森 Domhnall Gl...,https://movie.douban.com/subject/10577869/,8.6
